sample_name,R1_file,R2_file
106-1-1,106-1-1_R1.fq.gz,106-1-1_R2.fq.gz
106-1-2,106-1-2_R1.fq.gz,106-1-2_R2.fq.gz
106-3-1,106-3-1_R1.fq.gz,106-3-1_R2.fq.gz
106-3-2,106-3-2_R1.fq.gz,106-3-2_R2.fq.gz
108-3-1,108-3-1_R1.fq.gz,108-3-1_R2.fq.gz
108-3-2,108-3-2_R1.fq.gz,108-3-2_R2.fq.gz
108-9-1,108-9-1_R1.fq.gz,108-9-1_R2.fq.gz
108-9-2,108-9-2_R1.fq.gz,108-9-2_R2.fq.gz
929-2-1,929-2-1_R1.fq.gz,929-2-1_R2.fq.gz
929-2-2,929-2-2_R1.fq.gz,929-2-2_R2.fq.gz
929-5-1,929-5-1_R1.fq.gz,929-5-1_R2.fq.gz
929-5-2,929-5-2_R1.fq.gz,929-5-2_R2.fq.gz
106-2-1,106-2-1_R1.fq.gz,106-2-1_R2.fq.gz
106-2-2,106-2-2_R1.fq.gz,106-2-2_R2.fq.gz
106-4-1,106-4-1_R1.fq.gz,106-4-1_R2.fq.gz
106-4-2,106-4-2_R1.fq.gz,106-4-2_R2.fq.gz
108-1-1,108-1-1_R1.fq.gz,108-1-1_R2.fq.gz
108-1-2,108-1-2_R1.fq.gz,108-1-2_R2.fq.gz
108-2-1,108-2-1_R1.fq.gz,108-2-1_R2.fq.gz
108-2-2,108-2-2_R1.fq.gz,108-2-2_R2.fq.gz
108-6-1,108-6-1_R1.fq.gz,108-6-1_R2.fq.gz
108-6-2,108-6-2_R1.fq.gz,108-6-2_R2.fq.gz
108-7-1,108-7-1_R1.fq.gz,108-7-1_R2.fq.gz
108-7-2,108-7-2_R1.fq.gz,108-7-2_R2.fq.gz
201007-4-1,201007-4-1_R1.fq.gz,201007-4-1_R2.fq.gz
201007-4-2,201007-4-2_R1.fq.gz,201007-4-2_R2.fq.gz
201007-5-1,201007-5-1_R1.fq.gz,201007-5-1_R2.fq.gz
201007-5-2,201007-5-2_R1.fq.gz,201007-5-2_R2.fq.gz
201007-7-1,201007-7-1_R1.fq.gz,201007-7-1_R2.fq.gz
201007-7-2,201007-7-2_R1.fq.gz,201007-7-2_R2.fq.gz
201017-3-1,201017-3-1_R1.fq.gz,201017-3-1_R2.fq.gz
201017-3-2,201017-3-2_R1.fq.gz,201017-3-2_R2.fq.gz
201106-10-1,201106-10-1_R1.fq.gz,201106-10-1_R2.fq.gz
201106-10-2,201106-10-2_R1.fq.gz,201106-10-2_R2.fq.gz
201106-11-1,201106-11-1_R1.fq.gz,201106-11-1_R2.fq.gz
201106-11-2,201106-11-2_R1.fq.gz,201106-11-2_R2.fq.gz
201107-2-1,201107-2-1_R1.fq.gz,201107-2-1_R2.fq.gz
201107-2-2,201107-2-2_R1.fq.gz,201107-2-2_R2.fq.gz
201107-4-1,201107-4-1_R1.fq.gz,201107-4-1_R2.fq.gz
201107-4-2,201107-4-2_R1.fq.gz,201107-4-2_R2.fq.gz
201107-6-1,201107-6-1_R1.fq.gz,201107-6-1_R2.fq.gz
201107-6-2,201107-6-2_R1.fq.gz,201107-6-2_R2.fq.gz
201107-7-1,201107-7-1_R1.fq.gz,201107-7-1_R2.fq.gz
201107-7-2,201107-7-2_R1.fq.gz,201107-7-2_R2.fq.gz
201107-8-1,201107-8-1_R1.fq.gz,201107-8-1_R2.fq.gz
201107-8-2,201107-8-2_R1.fq.gz,201107-8-2_R2.fq.gz
